q,rho_0-4,rho_5-9,rho_10-19,rho_20-29,rho_30-49,rho_50+,seed,phi
0.2778976116427276,0.05689015563966564,0.020135500005830333,0.005395696409498207,0.007643329683537638,0.00906079684789858,0.025723813492922923,146.92474716161115,4.255813756468237
0.27576808843602224,0.06245320062264109,0.01905071920590632,0.004502047670978494,0.007883429775168121,0.008821207346393176,0.021000183820807327,165.87862014409953,5.488964443274465
0.27607674155540873,0.05842982689107289,0.018153910725017514,0.004954066980762967,0.00739176028440626,0.009485262384966324,0.026119738426815496,140.49440608883086,6.773802690035749
0.28147171239234225,0.05999094506759593,0.01826169439310425,0.004359061859150427,0.007637673977841352,0.008730353942485086,0.023335876880703783,139.42210258681385,4.59488885445419
0.2804614865754364,0.05534394222986542,0.017671537747782576,0.004216151250728243,0.007684622866829039,0.009923126013333904,0.019944949200481742,131.77102731950802,4.611953070660308
0.2829398482649709,0.06012405917292926,0.01842881412986042,0.005209550492814885,0.007081564722858557,0.00832256074407944,0.026962632728900357,125.48254902670111,7.900889448166471
0.2746646533238331,0.05555305592733393,0.019585431822265853,0.004468942268117516,0.0076776067476832495,0.010450476454166996,0.02314784260844968,165.5492470674849,4.041320927500806
0.2727998501013502,0.05957652851245608,0.02060175451945119,0.0043631763426602785,0.007153306145333855,0.009849736706794343,0.026501655319801972,163.5889792215692,4.834735485362238
0.27375890582832235,0.05944771835856596,0.01638589068412947,0.004955000520384519,0.0080122128023195,0.009091330087755787,0.02367318257961485,175.44020616099783,6.082910665789367
0.27334125918389407,0.061493306709982584,0.019471338211655326,0.00461139168377434,0.006395661103051465,0.009771023599036893,0.026758683236400235,172.6020308481716,4.934027159127706
0.27259348733836875,0.05944321459132348,0.016154024933800117,0.004785719478932216,0.007134958804533635,0.009905949565897354,0.022641321363481737,175.82327204389088,6.600982171792597
0.27918288425449833,0.06117925150020081,0.01963841811379973,0.0040983364264052784,0.00729411404696686,0.008424774880724129,0.02684532191759876,132.84388685496617,4.163944721679062
